Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Alpine Skiing Women's Combined,Winter,F,Bronze,149920.0,75230.0,23.5,169.0,66.5,1996.0
Alpine Skiing Women's Downhill,Winter,F,Bronze,92839.5,47037.0,21.5,168.0,66.0,1982.0
Alpine Skiing Women's Giant Slalom,Winter,F,Bronze,169203.0,85057.0,25.0,168.0,64.0,1984.0
Alpine Skiing Women's Slalom,Winter,F,Bronze,135460.0,68185.5,23.0,168.0,61.0,1982.0
Alpine Skiing Women's Super G,Winter,F,Bronze,155955.5,78307.0,23.5,168.0,63.0,2000.0
Archery Women's Double Columbia Round,Summer,F,Bronze,190950.0,95906.0,63.0,,,1904.0
Archery Women's Double National Round,Summer,F,Bronze,143480.5,72256.5,51.5,,,1906.0
Archery Women's Individual,Summer,F,Bronze,181775.0,91270.0,25.0,167.0,61.0,1994.0
Archery Women's Team,Summer,F,Bronze,148100.5,74384.5,23.0,166.5,60.0,2002.0
"Art Competitions Mixed Literature, Epic Works",Summer,F,Bronze,141602.5,71341.0,46.0,,,1938.0
"Art Competitions Mixed Painting, Paintings",Summer,F,Bronze,89338.0,45286.0,69.0,,,1948.0
"Art Competitions Mixed Sculpturing, Reliefs",Summer,F,Bronze,70355.0,35819.0,39.0,,,1948.0
"Art Competitions Mixed Sculpturing, Statues",Summer,F,Bronze,221488.0,111317.0,40.0,,,1928.0
"Athletics Women's 1,500 metres",Summer,F,Bronze,182644.0,91796.0,27.0,168.0,55.5,1994.0
Athletics Women's 10 kilometres Walk,Summer,F,Bronze,197410.0,98973.0,23.5,170.0,56.0,1994.0
"Athletics Women's 10,000 metres",Summer,F,Bronze,175698.0,88222.5,29.5,161.0,48.0,2002.0
Athletics Women's 100 metres,Summer,F,Bronze,144529.5,72601.0,23.0,170.5,58.0,1974.0
Athletics Women's 100 metres Hurdles,Summer,F,Bronze,142151.0,71312.0,28.0,167.0,57.0,1992.0
Athletics Women's 20 kilometres Walk,Summer,F,Bronze,200673.0,100784.0,24.0,160.0,45.0,2008.0
Athletics Women's 200 metres,Summer,F,Bronze,153235.5,76929.0,24.0,170.0,60.0,1982.0
"Athletics Women's 3,000 metres",Summer,F,Bronze,166447.0,83603.0,24.0,170.0,50.0,1988.0
"Athletics Women's 3,000 metres Steeplechase",Summer,F,Bronze,42936.0,22143.0,25.0,167.0,54.0,2012.0
Athletics Women's 4 x 100 metres Relay,Summer,F,Bronze,111329.0,56328.0,23.0,168.0,60.0,1976.0
Athletics Women's 4 x 400 metres Relay,Summer,F,Bronze,165513.0,83137.0,25.0,170.0,58.5,1996.0
Athletics Women's 400 metres,Summer,F,Bronze,172160.5,86532.5,23.0,173.0,61.5,1990.0
Athletics Women's 400 metres Hurdles,Summer,F,Bronze,68972.0,35173.0,25.0,174.0,63.0,2000.0
"Athletics Women's 5,000 metres",Summer,F,Bronze,53861.0,27646.5,24.5,166.0,48.5,2006.0
Athletics Women's 80 metres Hurdles,Summer,F,Bronze,166182.0,83649.0,23.5,166.5,58.5,1954.0
Athletics Women's 800 metres,Summer,F,Bronze,97478.0,49333.5,27.5,166.0,55.0,1986.0
Athletics Women's Discus Throw,Summer,F,Bronze,148629.0,74549.0,28.0,178.0,84.0,1976.0
Athletics Women's Hammer Throw,Summer,F,Bronze,96504.0,48858.0,23.0,172.0,78.0,2008.0
Athletics Women's Heptathlon,Summer,F,Bronze,65507.0,33526.0,27.0,176.0,64.0,2000.0
Athletics Women's High Jump,Summer,F,Bronze,107885.0,54593.5,26.0,178.5,62.0,1982.0
Athletics Women's Javelin Throw,Summer,F,Bronze,127007.0,64041.5,23.0,173.0,72.0,1978.0
Athletics Women's Long Jump,Summer,F,Bronze,125286.5,63221.0,26.0,171.0,59.5,1982.0
Athletics Women's Marathon,Summer,F,Bronze,58799.0,30088.0,29.0,162.0,47.0,2000.0
Athletics Women's Pentathlon,Summer,F,Bronze,129275.0,65078.0,23.0,170.0,65.0,1972.0
Athletics Women's Pole Vault,Summer,F,Bronze,103867.0,52554.0,23.0,174.0,64.0,2008.0
Athletics Women's Shot Put,Summer,F,Bronze,138217.0,69447.0,27.0,175.0,90.5,1980.0
Athletics Women's Triple Jump,Summer,F,Bronze,124318.0,62757.0,28.5,175.5,61.5,2006.0
Badminton Mixed Doubles,Summer,F,Bronze,247720.5,124107.5,27.0,172.0,63.0,2006.0
Badminton Women's Doubles,Summer,F,Bronze,206734.5,103796.0,23.5,171.0,60.0,2002.0
Badminton Women's Singles,Summer,F,Bronze,234381.0,117538.5,23.0,169.0,65.0,2002.0
Basketball Women's Basketball,Summer,F,Bronze,137653.0,69171.5,25.0,183.5,73.0,1996.0
Beach Volleyball Women's Beach Volleyball,Summer,F,Bronze,206871.0,103864.0,30.5,182.0,70.0,2006.0
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,F,Bronze,217453.5,108994.5,25.5,162.5,57.5,2014.0
Biathlon Women's 10 kilometres Pursuit,Winter,F,Bronze,57336.0,29247.5,28.0,168.5,55.0,2008.0
Biathlon Women's 12.5 kilometres Mass Start,Winter,F,Bronze,61183.0,31342.0,30.0,163.0,57.0,2010.0
Biathlon Women's 15 kilometres,Winter,F,Bronze,56105.0,28751.0,27.0,163.0,57.0,2002.0
Biathlon Women's 3 x 7.5 kilometres Relay,Winter,F,Bronze,156331.0,78510.0,26.0,167.0,55.0,1992.0
Biathlon Women's 4 x 6 kilometres Relay,Winter,F,Bronze,75173.0,38205.5,30.0,167.5,56.0,2010.0
Biathlon Women's 4 x 7.5 kilometres Relay,Winter,F,Bronze,116266.5,58663.0,25.5,169.0,57.5,1998.0
Biathlon Women's 7.5 kilometres Sprint,Winter,F,Bronze,216241.0,108541.0,26.0,166.0,57.0,2002.0
Bobsleigh Women's Two,Winter,F,Bronze,99372.5,50301.0,28.5,174.0,76.5,2008.0
